cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,      z-velocity
       906, 7.734206319E-01,-1.895051636E-02, 2.549818277E+00, 1.067246267E-04,-7.373279232E-07,-6.903267000E-03
       907, 7.545533776E-01,-3.781772032E-02, 2.549818277E+00, 1.038258633E-04,-1.592587182E-06,-6.619461812E-03
       908, 7.356861830E-01,-5.668492615E-02, 2.549818277E+00, 9.882340964E-05,-3.473873676E-06,-6.298268214E-03
       909, 7.168189883E-01,-7.555212826E-02, 2.549818277E+00, 8.925830480E-05,-5.780297215E-06,-5.944450386E-03
       910, 6.979517341E-01,-9.441933781E-02, 2.549818277E+00, 7.928302512E-05,-8.262023584E-06,-5.561248399E-03
       911, 6.790845990E-01,-1.132865399E-01, 2.549818277E+00, 7.021724014E-05,-1.069876089E-05,-5.155314691E-03
       912, 6.602173448E-01,-1.321537495E-01, 2.549818277E+00, 6.064165427E-05,-1.245797375E-05,-4.731376655E-03
       913, 6.413501501E-01,-1.510209590E-01, 2.549818277E+00, 5.140557550E-05,-1.307434377E-05,-4.294066690E-03
       914, 6.224829555E-01,-1.698881686E-01, 2.549818277E+00, 4.072299635E-05,-1.269501354E-05,-3.848525463E-03
       915, 6.036157608E-01,-1.887553632E-01, 2.549818277E+00, 3.118813038E-05,-1.165994308E-05,-3.399668960E-03
       916, 1.018998027E+00, 2.079668492E-01, 2.549818277E+00,-1.625441597E-03, 2.228544792E-03,-1.346197096E-03
       917, 9.998270273E-01, 1.885887533E-01, 2.549818277E+00,-2.210683888E-03,-3.454755060E-03,-1.619813964E-03
       918, 9.809598327E-01, 1.697215438E-01, 2.549818277E+00,-5.560053978E-04, 4.709188070E-04,-3.842036240E-03
       919, 9.620925784E-01, 1.508543342E-01, 2.549818277E+00, 8.829373866E-03, 2.488838218E-04,-6.481399760E-03
       920, 9.432254434E-01, 1.319871247E-01, 2.549818277E+00,-2.415902214E-03, 2.332523727E-04,-7.601189893E-03
       921, 9.243582487E-01, 1.131199226E-01, 2.549818277E+00,-2.162180026E-04, 1.427912794E-04,-7.841582410E-03
       922, 9.054910541E-01, 9.425272048E-02, 2.549818277E+00,-1.170172400E-04, 9.103792399E-05,-7.905201986E-03
       923, 8.866237998E-01, 7.538551092E-02, 2.549818277E+00,-1.023082950E-04, 6.051685705E-05,-7.929801941E-03
       924, 8.677566648E-01, 5.651830882E-02, 2.549818277E+00,-6.359561667E-05, 2.861117719E-05,-7.831289433E-03
       925, 8.488894105E-01, 3.765110299E-02, 2.549818277E+00, 1.342384530E-05, 1.067773337E-05,-7.670873776E-03
       926, 8.300222158E-01, 1.878389530E-02, 2.549818277E+00, 6.900866720E-05, 1.699550580E-06,-7.518769242E-03
       927, 8.111550212E-01,-8.330964920E-05, 2.549818277E+00, 9.483402391E-05,-1.032251475E-06,-7.351590786E-03
       928, 7.922877669E-01,-1.895051636E-02, 2.549818277E+00, 1.014584777E-04,-1.038948085E-06,-7.152956910E-03
       929, 7.734206319E-01,-3.781772032E-02, 2.549818277E+00, 1.040862917E-04,-9.812257531E-07,-6.913554855E-03
       930, 7.545533776E-01,-5.668492615E-02, 2.549818277E+00, 1.041363212E-04,-2.149916554E-06,-6.634339225E-03
       931, 7.356861830E-01,-7.555212826E-02, 2.549818277E+00, 9.631399007E-05,-4.848243407E-06,-6.321555469E-03
       932, 7.168189883E-01,-9.441933781E-02, 2.549818277E+00, 8.662210166E-05,-8.093656106E-06,-5.981669761E-03
       933, 6.979517341E-01,-1.132865399E-01, 2.549818277E+00, 7.932482549E-05,-1.126064399E-05,-5.617226474E-03
       934, 6.790845990E-01,-1.321537495E-01, 2.549818277E+00, 7.073490997E-05,-1.399436951E-05,-5.234238692E-03
       935, 6.602173448E-01,-1.510209590E-01, 2.549818277E+00, 6.397315883E-05,-1.562415127E-05,-4.836438224E-03
       936, 6.413501501E-01,-1.698881686E-01, 2.549818277E+00, 5.304709703E-05,-1.606164005E-05,-4.428208340E-03
       937, 6.224829555E-01,-1.887553632E-01, 2.549818277E+00, 4.353052645E-05,-1.560485362E-05,-4.014693201E-03
       938, 6.036157608E-01,-2.076225728E-01, 2.549818277E+00, 3.451096200E-05,-1.446606348E-05,-3.601209493E-03
       939, 1.020762682E+00, 1.891898513E-01, 2.549818277E+00,-1.507611829E-03, 5.363037810E-03,-9.777706582E-04
       940, 9.998270273E-01, 1.697215438E-01, 2.549818277E+00,-7.478562184E-04,-3.059424926E-03,-1.945663244E-03
       941, 9.809598327E-01, 1.508543342E-01, 2.549818277E+00, 1.053515077E-02, 3.994282742E-04,-4.651193041E-03
       942, 9.620925784E-01, 1.319871247E-01, 2.549818277E+00,-2.812163206E-03, 2.687967208E-04,-6.970549002E-03
       943, 9.432254434E-01, 1.131199226E-01, 2.549818277E+00,-2.258532331E-04, 2.593914687E-04,-7.527881768E-03
       944, 9.243582487E-01, 9.425272048E-02, 2.549818277E+00,-1.642540155E-04, 1.554484770E-04,-7.764857262E-03
       945, 9.054910541E-01, 7.538551092E-02, 2.549818277E+00,-1.775847195E-04, 8.218538278E-05,-7.957230322E-03
       946, 8.866237998E-01, 5.651830882E-02, 2.549818277E+00,-1.483366796E-04, 4.519113645E-05,-8.078499697E-03
       947, 8.677566648E-01, 3.765110299E-02, 2.549818277E+00,-5.826045526E-05, 1.860697012E-05,-7.815960795E-03
       948, 8.488894105E-01, 1.878389530E-02, 2.549818277E+00, 1.757107202E-05, 4.165408882E-06,-7.661214564E-03
       949, 8.300222158E-01,-8.330964920E-05, 2.549818277E+00, 7.043708320E-05,-1.893272042E-06,-7.521588821E-03
       950, 8.111550212E-01,-1.895051636E-02, 2.549818277E+00, 8.503156278E-05,-2.344258291E-06,-7.362551056E-03
       951, 7.922877669E-01,-3.781772032E-02, 2.549818277E+00, 9.768777090E-05,-1.314094220E-06,-7.165185641E-03
       952, 7.734206319E-01,-5.668492615E-02, 2.549818277E+00, 1.051856088E-04,-1.065350716E-06,-6.926245056E-03
       953, 7.545533776E-01,-7.555212826E-02, 2.549818277E+00, 1.006945386E-04,-3.124464229E-06,-6.651757751E-03
       954, 7.356861830E-01,-9.441933781E-02, 2.549818277E+00, 9.072987450E-05,-7.118171197E-06,-6.350456271E-03
       955, 7.168189883E-01,-1.132865399E-01, 2.549818277E+00, 8.559189882E-05,-1.136873016E-05,-6.027278956E-03
       956, 6.979517341E-01,-1.321537495E-01, 2.549818277E+00, 7.839442696E-05,-1.499862537E-05,-5.683731288E-03
       957, 6.790845990E-01,-1.510209590E-01, 2.549818277E+00, 7.464770897E-05,-1.772231008E-05,-5.324305966E-03
       958, 6.602173448E-01,-1.698881686E-01, 2.549818277E+00, 6.425963511E-05,-1.910709943E-05,-4.952821881E-03
       959, 6.413501501E-01,-1.887553632E-01, 2.549818277E+00, 5.556712858E-05,-1.941535993E-05,-4.573556129E-03
       960, 6.224829555E-01,-2.076225728E-01, 2.549818277E+00, 4.693188384E-05,-1.884129051E-05,-4.192141816E-03
       961, 6.036157608E-01,-2.264897823E-01, 2.549818277E+00, 3.847440530E-05,-1.757214704E-05,-3.813314019E-03
       962, 1.022328973E+00, 1.699833274E-01, 2.549818277E+00,-8.879275410E-04, 6.270940881E-03,-2.433421032E-04
       963, 9.998270273E-01, 1.508543342E-01, 2.549818277E+00, 1.210223604E-02,-2.805324271E-03,-1.379039255E-03
       964, 9.809598327E-01, 1.319871247E-01, 2.549818277E+00,-3.349876497E-03, 3.638904018E-04,-5.857896060E-03
       965, 9.620925784E-01, 1.131199226E-01, 2.549818277E+00,-1.931137958E-04, 3.007041814E-04,-6.891268305E-03
       966, 9.432254434E-01, 9.425272048E-02, 2.549818277E+00,-1.634954097E-04, 2.642805630E-04,-7.310011424E-03
       967, 9.243582487E-01, 7.538551092E-02, 2.549818277E+00,-2.352111915E-04, 1.491984440E-04,-7.805343717E-03
       968, 9.054910541E-01, 5.651830882E-02, 2.549818277E+00,-2.256298612E-04, 6.755348295E-05,-8.122487925E-03
       969, 8.866237998E-01, 3.765110299E-02, 2.549818277E+00,-1.493230957E-04, 2.968907211E-05,-8.041932248E-03
       970, 8.677566648E-01, 1.878389530E-02, 2.549818277E+00,-7.089864812E-05, 8.316888852E-06,-7.805900648E-03
       971, 8.488894105E-01,-8.330964920E-05, 2.549818277E+00, 1.740970038E-05,-2.385517064E-06,-7.664566860E-03
       972, 8.300222158E-01,-1.895051636E-02, 2.549818277E+00, 4.844424257E-05,-4.788432761E-06,-7.538092323E-03
       973, 8.111550212E-01,-3.781772032E-02, 2.549818277E+00, 8.230441745E-05,-2.906672535E-06,-7.379501592E-03
       974, 7.922877669E-01,-5.668492615E-02, 2.549818277E+00, 9.911921370E-05,-1.233782314E-06,-7.177226711E-03
       975, 7.734206319E-01,-7.555212826E-02, 2.549818277E+00, 1.008952604E-04,-1.400636393E-06,-6.938139442E-03
       976, 7.545533776E-01,-9.441933781E-02, 2.549818277E+00, 9.032450180E-05,-5.320534910E-06,-6.672055461E-03
       977, 7.356861830E-01,-1.132865399E-01, 2.549818277E+00, 8.680336759E-05,-1.069408609E-05,-6.386082154E-03
       978, 7.168189883E-01,-1.321537495E-01, 2.549818277E+00, 8.298619650E-05,-1.560126839E-05,-6.082602311E-03
       979, 6.979517341E-01,-1.510209590E-01, 2.549818277E+00, 8.039800741E-05,-1.929728569E-05,-5.760341417E-03
       980, 6.790845990E-01,-1.698881686E-01, 2.549818277E+00, 7.360299787E-05,-2.166364538E-05,-5.424513947E-03
       981, 6.602173448E-01,-1.887553632E-01, 2.549818277E+00, 6.647509144E-05,-2.282445166E-05,-5.079027731E-03
       982, 6.413501501E-01,-2.076225728E-01, 2.549818277E+00, 5.879658420E-05,-2.300574124E-05,-4.729019478E-03
       983, 6.224829555E-01,-2.264897823E-01, 2.549818277E+00, 5.107916513E-05,-2.227491495E-05,-4.379170947E-03
       984, 6.036157608E-01,-2.453569919E-01, 2.549818277E+00, 4.273384548E-05,-2.090865382E-05,-4.033884034E-03
       985, 1.020906329E+00, 1.508055031E-01, 2.549818277E+00, 1.338246837E-02, 6.345321424E-03, 3.013479272E-06
       986, 9.998270273E-01, 1.319871247E-01, 2.549818277E+00,-4.082451109E-03,-2.621330554E-03,-4.056183156E-03
       987, 9.809598327E-01, 1.131199226E-01, 2.549818277E+00,-1.024883968E-04, 3.302477417E-04,-5.702758674E-03
       988, 9.620925784E-01, 9.425272048E-02, 2.549818277E+00,-9.242130182E-05, 3.179053601E-04,-6.498311181E-03
